sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_029_b,223,-5.73529,145.33372,nacl,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_029_b,223,-5.73529,145.33372,nacl,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_030_b,224,-5.73517,145.33368,lipid,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_001,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_030_b,224,-5.73517,145.33368,lipid,63,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_030_b,224,-5.73517,145.33368,lipid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_031_b,236,-5.73556,145.33302,amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_003,myrmicinae,pheidole,predator_scavenger,png,png_200_m,200,2,200_fp_h_031_b,236,-5.73556,145.33302,amino_acid,25,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_032_b,235,-5.73556,145.33301,cho_amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_016,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_032_b,235,-5.73556,145.33301,cho_amino_acid,7,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_033_b,239,-5.73546,145.33262,cho,42,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_034_b,241,-5.73532,145.33274,h2o,0,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_035_b,236,-5.73538,145.33252,nacl,62,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
mera_001,myrmicinae,meranoplus,generalistic,png,png_200_m,200,2,200_fp_h_035_b,236,-5.73538,145.33252,nacl,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_016,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_036_b,241,-5.73526,145.33254,lipid,9,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_037_b,236,-5.73525,145.33244,amino_acid,7,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_038_b,241,-5.7352,145.33236,cho_amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_038_b,241,-5.7352,145.33236,cho_amino_acid,4,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_031,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_038_b,241,-5.7352,145.33236,cho_amino_acid,3,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_039_b,241,-5.73523,145.33228,cho,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_039_b,241,-5.73523,145.33228,cho,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_040_b,243,-5.73519,145.33216,h2o,0,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_041_b,246,-5.7352,145.33211,nacl,191,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,2,200_fp_h_042_b,246,-5.73518,145.33208,lipid,1,wet,6_nov_2012,natural_rainforest,60,200_2,FALSE,FALSE
